"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"충청북도 괴산군 괴산읍 동부리","812","0812","0000","괴산 지안스로가 아파트","59.9891","202101","8","16,500","8","2017","남산1길 55",""
"충청북도 괴산군 괴산읍 동부리","812","0812","0000","괴산 지안스로가 아파트","59.9891","202102","24","16,700","16","2017","남산1길 55",""
"충청북도 괴산군 괴산읍 동부리","812","0812","0000","괴산 지안스로가 아파트","84.9776","202103","8","22,000","6","2017","남산1길 55",""
"충청북도 괴산군 괴산읍 동부리","812","0812","0000","괴산 지안스로가 아파트","59.9939","202103","9","16,500","3","2017","남산1길 55",""
"충청북도 괴산군 괴산읍 동부리","812","0812","0000","괴산 지안스로가 아파트","59.9891","202104","12","17,300","15","2017","남산1길 55",""
"충청북도 괴산군 괴산읍 동부리","811","0811","0000","신성건설 미소지움 괴산","84.9367","202102","8","21,000","15","2014","남산1길 41",""
"충청북도 괴산군 괴산읍 동부리","811","0811","0000","신성건설 미소지움 괴산","59.9839","202102","23","15,900","11","2014","남산1길 41",""
"충청북도 괴산군 괴산읍 동부리","811","0811","0000","신성건설 미소지움 괴산","84.9367","202102","26","20,000","18","2014","남산1길 41",""
"충청북도 괴산군 괴산읍 동부리","811","0811","0000","신성건설 미소지움 괴산","59.9839","202103","30","14,600","16","2014","남산1길 41",""
"충청북도 괴산군 괴산읍 서부리","256","0256","0000","송천","59.685","202102","23","9,000","3","1994","읍내로13길 41",""
"충청북도 괴산군 괴산읍 서부리","256","0256","0000","송천","84.91","202103","25","13,700","9","1994","읍내로13길 41",""
"충청북도 괴산군 괴산읍 서부리","125-1","0125","0001","월드","59.7","202104","18","3,400","6","1992","임꺽정로 86-7",""
"충청북도 괴산군 괴산읍 서부리","277-5","0277","0005","태광아파트","60","202102","21","9,800","2","1998","읍내로4길 51",""
"충청북도 괴산군 괴산읍 서부리","277-5","0277","0005","태광아파트","60","202104","21","9,000","15","1998","읍내로4길 51",""
"충청북도 단양군 단양읍 도전리","644-1","0644","0001","화성","47.28","202102","25","6,250","1","1989","도전9나길 19",""
"충청북도 단양군 단양읍 도전리","644-1","0644","0001","화성","47.28","202103","1","7,300","4","1989","도전9나길 19",""
