"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20180101 ~ 20181231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대구광역시 남구 대명동","2542-12","2542","0012","EZ-ONE","77.34","201805","3","20,000","6","2014","명덕로20길 34",""
"대구광역시 남구 대명동","2542-12","2542","0012","EZ-ONE","84.375","201812","8","23,000","5","2014","명덕로20길 34",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201801","11","15,500","8","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201801","20","16,600","4","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201803","6","16,800","6","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201803","26","18,400","4","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201805","5","17,250","5","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201805","8","17,500","1","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201805","9","15,800","3","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201805","10","15,000","1","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201805","12","17,400","7","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201805","13","15,300","4","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201805","16","16,200","9","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201806","8","17,700","8","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201806","18","16,300","10","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201806","25","16,200","2","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201806","28","16,400","10","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201807","10","18,550","1","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201807","13","16,700","2","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201807","16","16,000","4","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201807","24","18,000","5","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201807","28","16,500","9","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201807","30","17,500","7","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201808","9","17,700","3","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201808","17","17,800","4","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201808","23","16,900","2","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201808","26","16,400","10","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201808","31","15,800","9","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201809","12","16,800","2","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201809","15","17,700","2","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201810","17","16,000","10","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201810","24","16,950","8","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201811","2","17,200","7","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201812","3","18,500","9","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201812","11","16,700","10","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201812","17","18,500","5","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201812","20","16,900","1","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","201812","27","17,350","10","1980","대명로 117",""
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","201801","2","11,000","5","1983","대경길 258",""
"대구광역시 남구 대명동","3008","3008","0000","경북","71.28","201802","7","12,400","5","1983","대경길 258",""
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","201802","10","13,500","4","1983","대경길 258",""
"대구광역시 남구 대명동","3008","3008","0000","경북","71.28","201805","1","13,500","3","1983","대경길 258",""
"대구광역시 남구 대명동","3008","3008","0000","경북","71.28","201807","30","15,800","3","1983","대경길 258",""
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","201808","28","13,150","4","1983","대경길 258",""
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","201811","14","13,500","4","1983","대경길 258",""
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","201812","18","13,950","3","1983","대경길 258",""
"대구광역시 남구 대명동","1733-3","1733","0003","경일맨션","70.35","201811","9","13,500","6","1977","현충로 190",""
"대구광역시 남구 대명동","1797-69","1797","0069","경일빌라트","122.61","201807","6","22,500","8","1996","중앙대로47길 39",""
"대구광역시 남구 대명동","2519-5","2519","0005","계명맨션","81.33","201803","19","12,300","1","1980","명덕로20길 12",""
"대구광역시 남구 대명동","2519-5","2519","0005","계명맨션","106.6775","201811","28","14,000","5","1980","명덕로20길 12",""
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","77.0369","201806","30","25,500","6","2016","성당로 138",""
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","62.7492","201807","7","21,800","5","2016","성당로 138",""
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","77.0369","201812","29","26,000","6","2016","성당로 138",""
"대구광역시 남구 대명동","3060","3060","0000","교대역 동서프라임36.5","84.9427","201809","27","43,500","9","2017","이천로19길 81",""
"대구광역시 남구 대명동","3051-16","3051","0016","금오맨션2동","60.875","201802","13","12,200","2","1982","두류공원로17길 39",""
"대구광역시 남구 대명동","3051-16","3051","0016","금오맨션2동","60.73","201803","7","13,150","1","1982","두류공원로17길 39",""
"대구광역시 남구 대명동","3051-16","3051","0016","금오맨션2동","62.1","201809","6","14,800","3","1982","두류공원로17길 39",""
"대구광역시 남구 대명동","3051-16","3051","0016","금오맨션2동","72.205","201810","16","14,600","1","1982","두류공원로17길 39",""
"대구광역시 남구 대명동","3051-16","3051","0016","금오맨션2동","59.81","201812","13","12,000","5","1982","두류공원로17길 39",""
"대구광역시 남구 대명동","1623-6","1623","0006","나나바루아","84.8562","201801","3","25,000","6","2015","대명복개로4길 104",""
"대구광역시 남구 대명동","1623-6","1623","0006","나나바루아","84.8562","201801","5","24,000","6","2015","대명복개로4길 104",""
"대구광역시 남구 대명동","1623-6","1623","0006","나나바루아","84.8562","201806","23","24,500","8","2015","대명복개로4길 104",""
"대구광역시 남구 대명동","1623-6","1623","0006","나나바루아","84.8562","201807","21","25,000","6","2015","대명복개로4길 104",""
"대구광역시 남구 대명동","1623-6","1623","0006","나나바루아","84.8562","201808","17","24,800","8","2015","대명복개로4길 104",""
"대구광역시 남구 대명동","1623-6","1623","0006","나나바루아","84.8562","201810","15","24,000","2","2015","대명복개로4길 104",""
"대구광역시 남구 대명동","1623-6","1623","0006","나나바루아","84.8562","201811","1","24,000","9","2015","대명복개로4길 104",""
"대구광역시 남구 대명동","1623-6","1623","0006","나나바루아","84.8562","201811","19","24,000","1","2015","대명복개로4길 104",""
"대구광역시 남구 대명동","3029-42","3029","0042","노블캐슬","80.95","201802","1","21,500","4","2016","대경길 125",""
"대구광역시 남구 대명동","3029-42","3029","0042","노블캐슬","102.14","201805","7","37,000","8","2016","대경길 125",""
"대구광역시 남구 대명동","3029-42","3029","0042","노블캐슬","80.95","201811","1","22,600","3","2016","대경길 125",""
"대구광역시 남구 대명동","1921-7","1921","0007","다채움","84.81","201810","19","26,000","8","2016","현충로 202",""
"대구광역시 남구 대명동","3007-34","3007","0034","대명(3007-34)","84.98","201804","11","15,000","3","1991","대경길 222",""
"대구광역시 남구 대명동","3007-34","3007","0034","대명(3007-34)","84.98","201807","23","18,000","1","1991","대경길 222",""
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","69.84","201802","21","14,000","3","1983","중앙대로31길 79",""
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","83.16","201804","13","17,000","2","1983","중앙대로31길 79",""
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","83.16","201806","13","16,500","3","1983","중앙대로31길 79",""
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","83.16","201806","29","16,800","2","1983","중앙대로31길 79",""
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","69.84","201811","15","14,000","3","1983","중앙대로31길 79",""
"대구광역시 남구 대명동","산58-2","0058","0002","대명가든맨션","80.64","201812","19","15,900","3","1983","중앙대로31길 79",""
"대구광역시 남구 대명동","217-2","0217","0002","대명더푸르지오","83.9847","201809","3","23,000","2","2015","대명남2길 19",""
"대구광역시 남구 대명동","3000-12","3000","0012","대명하이츠","28.65","201802","7","9,850","7","2001","양지남길 57",""
"대구광역시 남구 대명동","3000-12","3000","0012","대명하이츠","71.63","201803","26","16,600","5","2001","양지남길 57",""
"대구광역시 남구 대명동","3000-12","3000","0012","대명하이츠","71.63","201805","1","16,944","5","2001","양지남길 57",""
"대구광역시 남구 대명동","2137-3","2137","0003","더테라스","81.4244","201801","5","25,700","5","2017","현충로 245",""
"대구광역시 남구 대명동","2137-3","2137","0003","더테라스","81.4244","201801","12","25,000","4","2017","현충로 245",""
"대구광역시 남구 대명동","2137-3","2137","0003","더테라스","81.4244","201804","7","24,800","3","2017","현충로 245",""
"대구광역시 남구 대명동","2137-3","2137","0003","더테라스","81.4244","201808","31","26,400","10","2017","현충로 245",""
"대구광역시 남구 대명동","2137-3","2137","0003","더테라스","83.5152","201810","6","28,500","5","2017","현충로 245",""
"대구광역시 남구 대명동","2137-3","2137","0003","더테라스","82.2936","201810","31","28,200","2","2017","현충로 245",""
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","84.8","201805","2","18,200","4","1979","대명로 177",""
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","63.35","201805","2","14,700","2","1979","대명로 177",""
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","63.35","201807","16","15,000","5","1979","대명로 177",""
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","84.8","201809","3","18,000","6","1979","대명로 177",""
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","84.8","201809","11","18,000","4","1979","대명로 177",""
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","63.35","201810","31","15,700","4","1979","대명로 177",""
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","63.35","201812","24","14,500","2","1979","대명로 177",""
"대구광역시 남구 대명동","3008-4","3008","0004","동아","52.515","201810","30","10,700","1","1980","현충로31길 48",""
"대구광역시 남구 대명동","1220-24","1220","0024","동아대덕","72.78","201801","15","15,700","8","1992","현충서길 29",""
"대구광역시 남구 대명동","1220-24","1220","0024","동아대덕","84.96","201804","9","19,500","12","1992","현충서길 29",""
"대구광역시 남구 대명동","1220-24","1220","0024","동아대덕","72.78","201806","3","16,800","7","1992","현충서길 29",""
"대구광역시 남구 대명동","1220-24","1220","0024","동아대덕","72.78","201809","19","16,800","6","1992","현충서길 29",""
"대구광역시 남구 대명동","1623-14","1623","0014","드림팰리스","84.0838","201803","7","31,000","5","2016","대명로 83",""
"대구광역시 남구 대명동","1623-14","1623","0014","드림팰리스","84.0838","201806","11","28,000","9","2016","대명로 83",""
"대구광역시 남구 대명동","181-1","0181","0001","백작맨션","110.97","201805","1","27,000","2","1988","중앙대로31길 28",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201801","12","22,300","3","1998","큰골길 200",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","201802","6","15,250","1","1998","큰골길 200",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201802","10","20,900","8","1998","큰골길 200",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201802","12","21,000","2","1998","큰골길 200",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201802","24","19,500","10","1998","큰골길 200",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201802","28","22,600","11","1998","큰골길 200",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","201803","1","17,000","2","1998","큰골길 200",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","201803","5","22,900","11","1998","큰골길 200",""
