"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20130101 ~ 20131231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","23.895","201304","23","6,700","6","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","23.895","201304","23","6,600","5","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","28.375","201304","23","7,454","6","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","28.375","201304","23","8,000","3","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","23.895","201304","23","7,900","3","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","28.375","201304","23","7,900","3","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","31.955","201304","23","10,600","8","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","28.375","201304","23","7,960","6","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","27.115","201304","23","7,500","9","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","28.375","201304","23","8,500","7","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","28.375","201304","24","6,480","4","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","31.955","201304","24","7,280","3","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","31.955","201304","24","7,400","5","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","31.955","201304","24","7,550","6","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","31.955","201304","24","9,580","7","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","23.895","201304","24","8,700","9","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","28.375","201304","24","6,480","4","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","28.375","201304","24","7,540","5","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","23.895","201304","24","6,480","4","2013","신중남로 1",""
"제주특별자치도 서귀포시 강정동","175-2","0175","0002","스마트하이빌","31.955","201304","24","7,500","4","2013","신중남로 1",""
