"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20180101 ~ 20181231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라북도 고창군 고창읍 교촌리","90","0090","0000","구산아로마","81.1682","201803","20","19,500","2","2008","교촌2길 20",""
"전라북도 고창군 고창읍 교촌리","90","0090","0000","구산아로마","81.1682","201803","30","18,000","2","2008","교촌2길 20",""
"전라북도 고창군 고창읍 교촌리","40","0040","0000","뉴캐슬201","84.1518","201806","11","29,000","7","2013","천변북로 163",""
"전라북도 고창군 고창읍 교촌리","214-1","0214","0001","유진청하","84.96","201802","3","9,600","1","1991","청룡길 20",""
"전라북도 고창군 고창읍 교촌리","214-1","0214","0001","유진청하","84.96","201802","20","8,500","4","1991","청룡길 20",""
"전라북도 고창군 고창읍 교촌리","214-1","0214","0001","유진청하","84.96","201802","21","9,600","1","1991","청룡길 20",""
"전라북도 고창군 고창읍 교촌리","214-1","0214","0001","유진청하","84.96","201803","28","7,500","5","1991","청룡길 20",""
"전라북도 고창군 고창읍 교촌리","214-1","0214","0001","유진청하","84.96","201804","24","9,500","5","1991","청룡길 20",""
"전라북도 고창군 고창읍 교촌리","214-1","0214","0001","유진청하","84.96","201807","2","9,650","1","1991","청룡길 20",""
"전라북도 고창군 고창읍 교촌리","214-1","0214","0001","유진청하","84.96","201808","1","8,400","5","1991","청룡길 20",""
