"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20110101 ~ 20111231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","3","6,000","12","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","5","6,000","7","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","6","6,000","9","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","10","6,000","4","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","12","6,000","8","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","59.8676","201101","12","9,000","10","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","59.8676","201101","13","9,150","15","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","13","6,000","8","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","13","5,900","12","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","13","6,000","10","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","59.8676","201101","15","9,500","15","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","59.8676","201101","20","10,400","9","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","22","6,300","9","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","24","6,000","15","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","25","6,000","7","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","26","6,400","4","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","26","6,400","14","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","27","6,000","5","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","29","6,400","13","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","59.8676","201101","29","8,950","1","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201101","31","5,400","1","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201102","8","6,400","11","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201102","9","6,000","3","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201102","10","5,500","1","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","59.8676","201102","14","9,350","15","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201102","15","6,000","2","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201102","17","6,300","11","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","59.8676","201102","17","8,750","10","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201102","19","6,000","5","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201102","23","5,700","13","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201102","25","6,300","9","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","1","6,300","11","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","1","6,400","13","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","3","6,000","1","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","4","6,300","11","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","4","6,300","11","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","9","6,400","9","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","10","4,800","13","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","10","4,800","2","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","10","4,800","2","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","10","4,800","7","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","10","4,900","7","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","10","4,800","11","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","10","4,800","8","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","10","4,800","10","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","10","4,800","10","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","10","4,800","4","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","10","4,800","11","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","10","4,900","9","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","13","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","5","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","9","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","4","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","3","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","15","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","4","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","2","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","5","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","15","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","7","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","11","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","10","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","15","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","15","4,636","5","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","21","6,800","3","2000","용포2길 70",""
"세종특별자치시 금남면 용포리","320","0320","0000","두진리버빌","43.008","201103","23","6,300","3","2000","용포2길 70",""
